RowID,County-Parish,State,Indicator,Date,Year,IndicatorValue
Benchmark Average2008,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2008 12:00:00 AM,2008,96.5
Wake County2009,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,100
Shelby County2009,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Orleans Parish2009,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Oklahoma County2009,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,98.6
Miami-Dade County2009,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,99.7
Jefferson County2009,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.1
Hillsborough County2009,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.6
Fulton County2009,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,98.4
East Baton Rouge Parish2009,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,95.9
Davidson County2009,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,100
Benchmark Average2009,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2009 12:00:00 AM,2009,97.6
Wake County2010,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.2
Shelby County2010,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,98.1
Orleans Parish2010,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.7
Oklahoma County2010,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.2
Miami-Dade County2010,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.5
Jefferson County2010,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,89
Hillsborough County2010,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,96.7
Fulton County2010,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97
East Baton Rouge Parish2010,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97.3
Davidson County2010,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,99.7
Benchmark Average2010,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2010 12:00:00 AM,2010,97.2
Wake County2011,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,98.4
Shelby County2011,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,95.9
Orleans Parish2011,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,99.7
Oklahoma County2011,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,93.2
Miami-Dade County2011,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,98.9
Jefferson County2011,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,93.4
Hillsborough County2011,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,96.4
Fulton County2011,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,95.3
East Baton Rouge Parish2011,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,98.1
Davidson County2011,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,99.2
Benchmark Average2011,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2011 12:00:00 AM,2011,96.1
Wake County2012,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,98.9
Shelby County2012,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,95.4
Orleans Parish2012,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,100
Oklahoma County2012,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,94.3
Miami-Dade County2012,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,99.7
Jefferson County2012,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,89.1
Hillsborough County2012,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,96.4
Fulton County2012,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,97.3
East Baton Rouge Parish2012,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,98.3
Davidson County2012,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,97.8
Benchmark Average2012,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2012 12:00:00 AM,2012,96.2
Wake County2013,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,100
Shelby County2013,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,100
Orleans Parish2013,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,100
Oklahoma County2013,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,99
Miami-Dade County2013,Miami-Dade County,LF,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,99.6
Jefferson County2013,Jefferson County,KY,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,94.2
Hillsborough County2013,Hillsborough County,FL,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,98.9
Fulton County2013,Fulton County,GA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,99.6
East Baton Rouge Parish2013,East Baton Rouge Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,99
Davidson County2013,Davidson County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,99.5
Benchmark Average2013,Benchmark Average,,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2013 12:00:00 AM,2013,98.4
Wake County2014,Wake County,NC,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,100
Shelby County2014,Shelby County,TN,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,99
Orleans Parish2014,Orleans Parish,LA,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,100
Oklahoma County2014,Oklahoma County,OK,"Percent of days with ""good"" or ""moderate"" air quality",01/01/2014 12:00:00 AM,2014,100
