RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Benchmark AverageLife expectancy, female2001",01/01/2001 12:00:00 AM,2001,Benchmark Average,"Life expectancy, female",78.1
"Orleans Parish, LALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Orleans Parish, LA","Life expectancy, male",67.7
"Davidson County, TNLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Davidson County, TN","Life expectancy, male",71.6
"East Baton Rouge Parish, LALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"East Baton Rouge Parish, LA","Life expectancy, male",71.9
"Fulton County, GALife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Fulton County, GA","Life expectancy, male",71.4
"Hillsborough County, FLLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Hillsborough County, FL","Life expectancy, male",73.2
"Jefferson County, KYLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Jefferson County, KY","Life expectancy, male",72.4
"Miami-Dade County, FLLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Miami-Dade County, FL","Life expectancy, male",75.1
"Oklahoma County, OKLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Oklahoma County, OK","Life expectancy, male",71.9
"Shelby County, TNLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Shelby County, TN","Life expectancy, male",70.3
"Wake County, NCLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,"Wake County, NC","Life expectancy, male",76.1
"Benchmark AverageLife expectancy, male2002",01/01/2002 12:00:00 AM,2002,Benchmark Average,"Life expectancy, male",72.6
"Orleans Parish, LALife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Orleans Parish, LA","Life expectancy, female",75.9
"Davidson County, TNLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Davidson County, TN","Life expectancy, female",77.5
"East Baton Rouge Parish, LALife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"East Baton Rouge Parish, LA","Life expectancy, female",77.3
"Fulton County, GALife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Fulton County, GA","Life expectancy, female",77.2
"Hillsborough County, FLLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Hillsborough County, FL","Life expectancy, female",78.8
"Jefferson County, KYLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Jefferson County, KY","Life expectancy, female",77.9
"Miami-Dade County, FLLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Miami-Dade County, FL","Life expectancy, female",80.9
"Oklahoma County, OKLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Oklahoma County, OK","Life expectancy, female",77
"Shelby County, TNLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Shelby County, TN","Life expectancy, female",76.3
"Wake County, NCLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,"Wake County, NC","Life expectancy, female",80.7
"Benchmark AverageLife expectancy, female2002",01/01/2002 12:00:00 AM,2002,Benchmark Average,"Life expectancy, female",78.2
"Orleans Parish, LALife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Orleans Parish, LA","Life expectancy, male",67.7
"Davidson County, TNLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Davidson County, TN","Life expectancy, male",71.7
"East Baton Rouge Parish, LALife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"East Baton Rouge Parish, LA","Life expectancy, male",71.7
"Fulton County, GALife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Fulton County, GA","Life expectancy, male",71.8
"Hillsborough County, FLLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Hillsborough County, FL","Life expectancy, male",73.5
"Jefferson County, KYLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Jefferson County, KY","Life expectancy, male",72.4
"Miami-Dade County, FLLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Miami-Dade County, FL","Life expectancy, male",75.4
"Oklahoma County, OKLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Oklahoma County, OK","Life expectancy, male",72.1
"Shelby County, TNLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Shelby County, TN","Life expectancy, male",70.5
"Wake County, NCLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,"Wake County, NC","Life expectancy, male",76.3
"Benchmark AverageLife expectancy, male2003",01/01/2003 12:00:00 AM,2003,Benchmark Average,"Life expectancy, male",72.8
"Orleans Parish, LALife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Orleans Parish, LA","Life expectancy, female",75.8
"Davidson County, TNLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Davidson County, TN","Life expectancy, female",77.5
"East Baton Rouge Parish, LALife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"East Baton Rouge Parish, LA","Life expectancy, female",77.1
"Fulton County, GALife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Fulton County, GA","Life expectancy, female",77.4
"Hillsborough County, FLLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Hillsborough County, FL","Life expectancy, female",79
"Jefferson County, KYLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Jefferson County, KY","Life expectancy, female",78
"Miami-Dade County, FLLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Miami-Dade County, FL","Life expectancy, female",81.1
"Oklahoma County, OKLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Oklahoma County, OK","Life expectancy, female",77.2
"Shelby County, TNLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Shelby County, TN","Life expectancy, female",76.5
"Wake County, NCLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,"Wake County, NC","Life expectancy, female",80.9
"Benchmark AverageLife expectancy, female2003",01/01/2003 12:00:00 AM,2003,Benchmark Average,"Life expectancy, female",78.3
