RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Oklahoma City, OK_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Oklahoma City, OK",Median household income in the past 12 months (Black or African American Alone Householder),28804,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Memphis, TN_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Memphis, TN",Median household income in the past 12 months (Black or African American Alone Householder),28245,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Nashville, TN_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Nashville, TN",Median household income in the past 12 months (Black or African American Alone Householder),31875,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Miami, FL_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Miami, FL",Median household income in the past 12 months (Black or African American Alone Householder),23812,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013B_001E_2008,01/01/2008 12:00:00 AM,2008,Tampa. FL,Median household income in the past 12 months (Black or African American Alone Householder),30678,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Atlanta, GA_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Atlanta, GA",Median household income in the past 12 months (Black or African American Alone Householder),29033,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Louisville, KY_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Louisville, KY",Median household income in the past 12 months (Black or African American Alone Householder),26157,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Baton Rouge, LA_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Baton Rouge, LA",Median household income in the past 12 months (Black or African American Alone Householder),28996,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"New Orleans, LA_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"New Orleans, LA",Median household income in the past 12 months (Black or African American Alone Householder),27021,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Raleigh, NC_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Raleigh, NC",Median household income in the past 12 months (Black or African American Alone Householder),38072,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Oklahoma City, OK_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Oklahoma City, OK",Median household income in the past 12 months (Black or African American Alone Householder),30268,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Memphis, TN_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Memphis, TN",Median household income in the past 12 months (Black or African American Alone Householder),30806,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Nashville, TN_B19013B_001E_2008",01/01/2008 12:00:00 AM,2008,"Nashville, TN",Median household income in the past 12 months (Black or African American Alone Householder),34857,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Miami, FL_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Miami, FL",Median household income in the past 12 months (Black or African American Alone Householder),18489,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013B_001E_2009,01/01/2009 12:00:00 AM,2009,Tampa. FL,Median household income in the past 12 months (Black or African American Alone Householder),27300,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Atlanta, GA_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Atlanta, GA",Median household income in the past 12 months (Black or African American Alone Householder),25092,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Louisville, KY_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Louisville, KY",Median household income in the past 12 months (Black or African American Alone Householder),25745,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Baton Rouge, LA_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Baton Rouge, LA",Median household income in the past 12 months (Black or African American Alone Householder),26026,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"New Orleans, LA_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"New Orleans, LA",Median household income in the past 12 months (Black or African American Alone Householder),26234,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Raleigh, NC_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Raleigh, NC",Median household income in the past 12 months (Black or African American Alone Householder),39278,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Oklahoma City, OK_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Oklahoma City, OK",Median household income in the past 12 months (Black or African American Alone Householder),26432,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Memphis, TN_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Memphis, TN",Median household income in the past 12 months (Black or African American Alone Householder),27569,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Nashville, TN_B19013B_001E_2009",01/01/2009 12:00:00 AM,2009,"Nashville, TN",Median household income in the past 12 months (Black or African American Alone Householder),32595,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Median household income in the past 12 months (All householders),58884,B19013_001E,HD01_VD01,B19013. Median Household Income
"Miami, FL_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Miami, FL",Median household income in the past 12 months (Black or African American Alone Householder),19476,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013B_001E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,Median household income in the past 12 months (Black or African American Alone Householder),25867,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Atlanta, GA_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Atlanta, GA",Median household income in the past 12 months (Black or African American Alone Householder),23692,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Louisville, KY_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Louisville, KY",Median household income in the past 12 months (Black or African American Alone Householder),26437,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Baton Rouge, LA_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Baton Rouge, LA",Median household income in the past 12 months (Black or African American Alone Householder),25760,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"New Orleans, LA_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"New Orleans, LA",Median household income in the past 12 months (Black or African American Alone Householder),26910,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Raleigh, NC_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Raleigh, NC",Median household income in the past 12 months (Black or African American Alone Householder),38075,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Oklahoma City, OK_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Oklahoma City, OK",Median household income in the past 12 months (Black or African American Alone Householder),31394,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Memphis, TN_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Memphis, TN",Median household income in the past 12 months (Black or African American Alone Householder),31189,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Nashville, TN_B19013B_001E_2010",01/01/2010 12:00:00 AM,2010,"Nashville, TN",Median household income in the past 12 months (Black or African American Alone Householder),30742,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Miami, FL_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Miami, FL",Median household income in the past 12 months (Black or African American Alone Householder),19185,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013B_001E_2011,01/01/2011 12:00:00 AM,2011,Tampa. FL,Median household income in the past 12 months (Black or African American Alone Householder),25504,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Atlanta, GA_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Atlanta, GA",Median household income in the past 12 months (Black or African American Alone Householder),26075,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Louisville, KY_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Louisville, KY",Median household income in the past 12 months (Black or African American Alone Householder),25717,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Baton Rouge, LA_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Baton Rouge, LA",Median household income in the past 12 months (Black or African American Alone Householder),27117,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"New Orleans, LA_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"New Orleans, LA",Median household income in the past 12 months (Black or African American Alone Householder),24385,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Raleigh, NC_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Raleigh, NC",Median household income in the past 12 months (Black or African American Alone Householder),42404,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Oklahoma City, OK_B19013B_001E_2011",01/01/2011 12:00:00 AM,2011,"Oklahoma City, OK",Median household income in the past 12 months (Black or African American Alone Householder),29054,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
