RowID,Date,Year,IndicatorName,IndicatorValue
Inmates in Orleans Parish Prison (daily)3-13-2011,03/13/2011,2011,Inmates in Orleans Parish Prison (daily),2867
Inmates in Orleans Parish Prison (daily)3-14-2011,03/14/2011,2011,Inmates in Orleans Parish Prison (daily),2916
Inmates in Orleans Parish Prison (daily)3-15-2011,03/15/2011,2011,Inmates in Orleans Parish Prison (daily),2902
Inmates in Orleans Parish Prison (daily)3-16-2011,03/16/2011,2011,Inmates in Orleans Parish Prison (daily),2906
Inmates in Orleans Parish Prison (daily)3-17-2011,03/17/2011,2011,Inmates in Orleans Parish Prison (daily),2913
Inmates in Orleans Parish Prison (daily)3-18-2011,03/18/2011,2011,Inmates in Orleans Parish Prison (daily),2942
Inmates in Orleans Parish Prison (daily)3-19-2011,03/19/2011,2011,Inmates in Orleans Parish Prison (daily),2905
Inmates in Orleans Parish Prison (daily)3-20-2011,03/20/2011,2011,Inmates in Orleans Parish Prison (daily),2877
Inmates in Orleans Parish Prison (daily)3-21-2011,03/21/2011,2011,Inmates in Orleans Parish Prison (daily),2941
Inmates in Orleans Parish Prison (daily)3-22-2011,03/22/2011,2011,Inmates in Orleans Parish Prison (daily),2952
Inmates in Orleans Parish Prison (daily)3-23-2011,03/23/2011,2011,Inmates in Orleans Parish Prison (daily),2947
Inmates in Orleans Parish Prison (daily)3-24-2011,03/24/2011,2011,Inmates in Orleans Parish Prison (daily),2958
Inmates in Orleans Parish Prison (daily)3-25-2011,03/25/2011,2011,Inmates in Orleans Parish Prison (daily),2947
Inmates in Orleans Parish Prison (daily)3-26-2011,03/26/2011,2011,Inmates in Orleans Parish Prison (daily),2909
Inmates in Orleans Parish Prison (daily)3-27-2011,03/27/2011,2011,Inmates in Orleans Parish Prison (daily),2921
Inmates in Orleans Parish Prison (daily)3-28-2011,03/28/2011,2011,Inmates in Orleans Parish Prison (daily),2967
Inmates in Orleans Parish Prison (daily)3-29-2011,03/29/2011,2011,Inmates in Orleans Parish Prison (daily),2957
Inmates in Orleans Parish Prison (daily)3-30-2011,03/30/2011,2011,Inmates in Orleans Parish Prison (daily),2910
Inmates in Orleans Parish Prison (daily)3-31-2011,03/31/2011,2011,Inmates in Orleans Parish Prison (daily),2932
Inmates in Orleans Parish Prison (daily)4-1-2011,04/01/2011,2011,Inmates in Orleans Parish Prison (daily),2961
Inmates in Orleans Parish Prison (daily)4-2-2011,04/02/2011,2011,Inmates in Orleans Parish Prison (daily),2939
Inmates in Orleans Parish Prison (daily)4-3-2011,04/03/2011,2011,Inmates in Orleans Parish Prison (daily),2940
Inmates in Orleans Parish Prison (daily)4-4-2011,04/04/2011,2011,Inmates in Orleans Parish Prison (daily),2962
Inmates in Orleans Parish Prison (daily)4-5-2011,04/05/2011,2011,Inmates in Orleans Parish Prison (daily),2967
Inmates in Orleans Parish Prison (daily)4-6-2011,04/06/2011,2011,Inmates in Orleans Parish Prison (daily),2997
Inmates in Orleans Parish Prison (daily)4-7-2011,04/07/2011,2011,Inmates in Orleans Parish Prison (daily),3015
Inmates in Orleans Parish Prison (daily)4-8-2011,04/08/2011,2011,Inmates in Orleans Parish Prison (daily),3007
Inmates in Orleans Parish Prison (daily)4-9-2011,04/09/2011,2011,Inmates in Orleans Parish Prison (daily),3001
Inmates in Orleans Parish Prison (daily)4-10-2011,04/10/2011,2011,Inmates in Orleans Parish Prison (daily),2987
Inmates in Orleans Parish Prison (daily)4-11-2011,04/11/2011,2011,Inmates in Orleans Parish Prison (daily),3019
Inmates in Orleans Parish Prison (daily)4-12-2011,04/12/2011,2011,Inmates in Orleans Parish Prison (daily),3003
Inmates in Orleans Parish Prison (daily)4-13-2011,04/13/2011,2011,Inmates in Orleans Parish Prison (daily),2991
Inmates in Orleans Parish Prison (daily)4-14-2011,04/14/2011,2011,Inmates in Orleans Parish Prison (daily),2989
Inmates in Orleans Parish Prison (daily)4-15-2011,04/15/2011,2011,Inmates in Orleans Parish Prison (daily),3033
Inmates in Orleans Parish Prison (daily)4-16-2011,04/16/2011,2011,Inmates in Orleans Parish Prison (daily),3039
Inmates in Orleans Parish Prison (daily)4-17-2011,04/17/2011,2011,Inmates in Orleans Parish Prison (daily),3045
Inmates in Orleans Parish Prison (daily)4-18-2011,04/18/2011,2011,Inmates in Orleans Parish Prison (daily),3085
Inmates in Orleans Parish Prison (daily)4-19-2011,04/19/2011,2011,Inmates in Orleans Parish Prison (daily),3080
Inmates in Orleans Parish Prison (daily)4-20-2011,04/20/2011,2011,Inmates in Orleans Parish Prison (daily),3061
Inmates in Orleans Parish Prison (daily)4-21-2011,04/21/2011,2011,Inmates in Orleans Parish Prison (daily),3058
Inmates in Orleans Parish Prison (daily)4-22-2011,04/22/2011,2011,Inmates in Orleans Parish Prison (daily),3024
Inmates in Orleans Parish Prison (daily)4-23-2011,04/23/2011,2011,Inmates in Orleans Parish Prison (daily),3042
Inmates in Orleans Parish Prison (daily)4-24-2011,04/24/2011,2011,Inmates in Orleans Parish Prison (daily),3078
Inmates in Orleans Parish Prison (daily)4-25-2011,04/25/2011,2011,Inmates in Orleans Parish Prison (daily),3111
Inmates in Orleans Parish Prison (daily)4-26-2011,04/26/2011,2011,Inmates in Orleans Parish Prison (daily),3074
Inmates in Orleans Parish Prison (daily)4-27-2011,04/27/2011,2011,Inmates in Orleans Parish Prison (daily),3035
Inmates in Orleans Parish Prison (daily)4-28-2011,04/28/2011,2011,Inmates in Orleans Parish Prison (daily),3016
Inmates in Orleans Parish Prison (daily)4-29-2011,04/29/2011,2011,Inmates in Orleans Parish Prison (daily),3008
Inmates in Orleans Parish Prison (daily)4-30-2011,04/30/2011,2011,Inmates in Orleans Parish Prison (daily),3011
Inmates in Orleans Parish Prison (daily)5-1-2011,05/01/2011,2011,Inmates in Orleans Parish Prison (daily),3012
Inmates in Orleans Parish Prison (daily)5-2-2011,05/02/2011,2011,Inmates in Orleans Parish Prison (daily),3063
Inmates in Orleans Parish Prison (daily)5-3-2011,05/03/2011,2011,Inmates in Orleans Parish Prison (daily),3052
Inmates in Orleans Parish Prison (daily)5-4-2011,05/04/2011,2011,Inmates in Orleans Parish Prison (daily),3011
Inmates in Orleans Parish Prison (daily)5-5-2011,05/05/2011,2011,Inmates in Orleans Parish Prison (daily),2992
Inmates in Orleans Parish Prison (daily)5-6-2011,05/06/2011,2011,Inmates in Orleans Parish Prison (daily),2996
Inmates in Orleans Parish Prison (daily)5-7-2011,05/07/2011,2011,Inmates in Orleans Parish Prison (daily),2997
Inmates in Orleans Parish Prison (daily)5-8-2011,05/08/2011,2011,Inmates in Orleans Parish Prison (daily),3027
Inmates in Orleans Parish Prison (daily)5-9-2011,05/09/2011,2011,Inmates in Orleans Parish Prison (daily),3049
Inmates in Orleans Parish Prison (daily)5-10-2011,05/10/2011,2011,Inmates in Orleans Parish Prison (daily),3055
Inmates in Orleans Parish Prison (daily)5-11-2011,05/11/2011,2011,Inmates in Orleans Parish Prison (daily),3049
Inmates in Orleans Parish Prison (daily)5-12-2011,05/12/2011,2011,Inmates in Orleans Parish Prison (daily),3063
Inmates in Orleans Parish Prison (daily)5-13-2011,05/13/2011,2011,Inmates in Orleans Parish Prison (daily),3082
Inmates in Orleans Parish Prison (daily)5-14-2011,05/14/2011,2011,Inmates in Orleans Parish Prison (daily),3040
Inmates in Orleans Parish Prison (daily)5-15-2011,05/15/2011,2011,Inmates in Orleans Parish Prison (daily),3070
Inmates in Orleans Parish Prison (daily)5-16-2011,05/16/2011,2011,Inmates in Orleans Parish Prison (daily),3080
Inmates in Orleans Parish Prison (daily)5-17-2011,05/17/2011,2011,Inmates in Orleans Parish Prison (daily),3085
Inmates in Orleans Parish Prison (daily)5-18-2011,05/18/2011,2011,Inmates in Orleans Parish Prison (daily),3083
Inmates in Orleans Parish Prison (daily)5-19-2011,05/19/2011,2011,Inmates in Orleans Parish Prison (daily),3097
Inmates in Orleans Parish Prison (daily)5-20-2011,05/20/2011,2011,Inmates in Orleans Parish Prison (daily),3096
Inmates in Orleans Parish Prison (daily)5-21-2011,05/21/2011,2011,Inmates in Orleans Parish Prison (daily),3079
Inmates in Orleans Parish Prison (daily)5-22-2011,05/22/2011,2011,Inmates in Orleans Parish Prison (daily),3091
Inmates in Orleans Parish Prison (daily)5-23-2011,05/23/2011,2011,Inmates in Orleans Parish Prison (daily),3125
Inmates in Orleans Parish Prison (daily)5-24-2011,05/24/2011,2011,Inmates in Orleans Parish Prison (daily),3115
Inmates in Orleans Parish Prison (daily)5-25-2011,05/25/2011,2011,Inmates in Orleans Parish Prison (daily),3064
Inmates in Orleans Parish Prison (daily)5-26-2011,05/26/2011,2011,Inmates in Orleans Parish Prison (daily),3049
Inmates in Orleans Parish Prison (daily)5-27-2011,05/27/2011,2011,Inmates in Orleans Parish Prison (daily),3033
Inmates in Orleans Parish Prison (daily)5-28-2011,05/28/2011,2011,Inmates in Orleans Parish Prison (daily),3020
Inmates in Orleans Parish Prison (daily)5-29-2011,05/29/2011,2011,Inmates in Orleans Parish Prison (daily),3027
Inmates in Orleans Parish Prison (daily)5-30-2011,05/30/2011,2011,Inmates in Orleans Parish Prison (daily),3018
Inmates in Orleans Parish Prison (daily)5-31-2011,05/31/2011,2011,Inmates in Orleans Parish Prison (daily),3073
Inmates in Orleans Parish Prison (daily)6-1-2011,06/01/2011,2011,Inmates in Orleans Parish Prison (daily),3113
Inmates in Orleans Parish Prison (daily)6-2-2011,06/02/2011,2011,Inmates in Orleans Parish Prison (daily),3082
Inmates in Orleans Parish Prison (daily)6-3-2011,06/03/2011,2011,Inmates in Orleans Parish Prison (daily),3074
Inmates in Orleans Parish Prison (daily)6-4-2011,06/04/2011,2011,Inmates in Orleans Parish Prison (daily),3087
Inmates in Orleans Parish Prison (daily)6-5-2011,06/05/2011,2011,Inmates in Orleans Parish Prison (daily),3077
Inmates in Orleans Parish Prison (daily)6-6-2011,06/06/2011,2011,Inmates in Orleans Parish Prison (daily),3086
Inmates in Orleans Parish Prison (daily)6-7-2011,06/07/2011,2011,Inmates in Orleans Parish Prison (daily),3102
Inmates in Orleans Parish Prison (daily)6-8-2011,06/08/2011,2011,Inmates in Orleans Parish Prison (daily),3115
Inmates in Orleans Parish Prison (daily)6-9-2011,06/09/2011,2011,Inmates in Orleans Parish Prison (daily),3134
Inmates in Orleans Parish Prison (daily)6-10-2011,06/10/2011,2011,Inmates in Orleans Parish Prison (daily),3161
Inmates in Orleans Parish Prison (daily)6-11-2011,06/11/2011,2011,Inmates in Orleans Parish Prison (daily),3135
Inmates in Orleans Parish Prison (daily)6-12-2011,06/12/2011,2011,Inmates in Orleans Parish Prison (daily),3127
Inmates in Orleans Parish Prison (daily)6-13-2011,06/13/2011,2011,Inmates in Orleans Parish Prison (daily),3173
Inmates in Orleans Parish Prison (daily)6-14-2011,06/14/2011,2011,Inmates in Orleans Parish Prison (daily),3199
Inmates in Orleans Parish Prison (daily)6-15-2011,06/15/2011,2011,Inmates in Orleans Parish Prison (daily),3179
Inmates in Orleans Parish Prison (daily)6-16-2011,06/16/2011,2011,Inmates in Orleans Parish Prison (daily),3201
Inmates in Orleans Parish Prison (daily)6-17-2011,06/17/2011,2011,Inmates in Orleans Parish Prison (daily),3209
Inmates in Orleans Parish Prison (daily)6-18-2011,06/18/2011,2011,Inmates in Orleans Parish Prison (daily),3200
